species_id,habitat_id
1,1
2,1
3,1
4,6
5,6
6,6
7,3
8,3
9,3
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,1
20,1
21,7
22,7
23,1
24,1
25,2
26,2
27,7
28,7
29,1
30,1
31,1
32,1
33,1
34,1
35,6
36,6
37,1
38,1
39,1
40,1
41,5
42,5
43,1
44,1
45,1
46,2
47,2
48,2
49,2
50,5
51,5
52,8
53,8
54,3
55,3
56,6
57,6
58,1
59,1
60,3
61,3
62,3
63,8
64,8
65,8
66,6
67,6
68,6
69,2
70,2
71,2
72,4
73,4
74,6
75,6
76,6
77,1
78,1
79,3
80,3
81,7
82,7
83,1
84,1
85,1
86,4
87,4
88,8
89,8
90,4
91,4
92,5
93,5
94,5
95,5
96,1
97,1
98,3
99,3
100,8
101,8
102,2
103,2
104,6
105,6
106,8
107,8
108,1
109,8
110,8
111,7
112,7
113,8
114,1
115,1
116,4
117,4
118,3
119,3
120,4
121,4
122,8
123,1
124,8
125,1
126,6
127,2
128,1
129,3
130,3
131,4
132,8
133,8
134,8
135,8
136,8
137,8
138,4
139,4
140,4
141,4
142,6
143,6
144,9
145,9
146,9
147,3
148,3
149,3
150,9
151,9
152,1
153,1
154,1
155,1
156,1
157,1
158,3
159,3
160,3
161,1
162,1
163,2
164,2
165,2
166,2
167,2
168,2
169,5
170,4
171,4
172,2
173,6
174,1
175,2
176,2
177,2
178,2
179,1
180,1
181,1
182,1
183,3
184,3
185,2
186,3
187,1
188,1
189,1
190,2
191,1
192,1
193,2
194,3
195,3
196,8
197,8
198,2
199,3
200,5
201,9
202,5
203,1
204,2
205,2
206,5
207,6
208,5
209,8
210,8
211,4
212,1
213,6
214,2
215,2
216,6
217,6
218,6
219,6
220,5
221,5
222,4
223,4
224,4
225,6
226,4
227,7
228,7
229,7
230,4
231,7
232,7
233,8
234,2
235,8
236,8
237,8
238,8
239,1
240,6
241,1
242,8
243,1
244,1
245,1
246,6
247,6
248,6
249,9
250,9
251,2
252,2
253,2
254,2
255,1
256,1
257,1
258,3
259,3
260,3
261,1
262,1
263,1
264,1
265,2
266,2
267,2
268,2
269,2
270,3
271,3
272,3
273,2
274,2
275,2
276,1
277,1
278,4
279,4
280,8
281,8
282,8
283,3
284,3
285,2
286,2
287,2
288,2
289,2
290,2
291,2
292,2
293,5
294,5
295,5
296,6
297,6
298,3
299,5
300,2
301,2
302,5
303,5
304,6
305,6
306,6
307,6
308,6
309,1
310,1
311,1
312,1
313,2
314,2
315,1
316,1
317,1
318,4
319,4
320,4
321,4
322,6
323,6
324,6
325,6
326,6
327,6
328,7
329,7
330,7
331,7
332,7
333,2
334,2
335,1
336,1
337,5
338,5
339,3
340,3
341,3
342,3
343,7
344,7
345,4
346,4
347,3
348,3
349,3
350,3
351,1
352,2
353,8
354,8
355,2
356,2
357,2
358,1
359,6
360,5
361,5
362,5
363,4
364,4
365,4
366,4
367,4
368,4
369,4
370,4
371,7
372,7
373,7
374,7
375,7
376,7
377,5
378,5
379,5
380,3
381,3
382,4
383,7
384,9
385,6
386,9
